Block Type,384-Well Block,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,11-18-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,07-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CY5 is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye CY5 performed on,07-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,07-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,07-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MUSTANG PURPLE performed on,07-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,07-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,07-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,07-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,07-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,07-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration RNaseP is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration RNaseP performed on,07-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration ROI performed on,07-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Uniformity performed on,07-08-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,TAQMAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date Created,2024-12-04 14:35:11 PM EST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Barcode,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Comment,USGS Ticks Batch 04 plate 01 qPCR03,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment File Name,E:\Applied Biosystems\QuantStudio\Ticks\USGS-Ticks-qPCR03.eds,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Name,USGS-Ticks-qPCR03,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Run End Time,2024-12-04 16:46:40 PM EST,,,,,,,,,,,,,,,,,,,,,,,,,,,
Experiment Type,Standard Curve,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Name,278870712,,,,,,,,,,,,,,,,,,,,,,,,,,,
